Miasto;Powiat;Województwo;Populacja;Obszar;Status;Szansa;IleNiepustych;979
Leżajsk;powiat leżajski;podkarpackie;13390;20,60;0;5;;
Żnin;powiat żniński;kujawsko-pomorskie;13379;8,40;0;5;;
Nidzica;powiat nidzicki;warmińsko-mazurskie;13355;6,90;0;5;;
Człuchów;powiat człuchowski;pomorskie;13350;12,80;0;5;;
Darłowo;powiat sławieński;zachodniopomorskie;13324;20,20;0;5;;
Wąbrzeźno;powiat wąbrzeski;kujawsko-pomorskie;13276;8,50;0;5;;
Morąg;powiat ostródzki;warmińsko-mazurskie;13209;6,10;0;5;;
Głuchołazy;powiat nyski;opolskie;13141;6,80;0;5;;
Chojnów;powiat legnicki;dolnośląskie;13002;5,30;0;5;;
Ożarów Mazowiecki;powiat warszawski zachodni;mazowieckie;12885;8,10;0;5;;
Włodawa;powiat włodawski;lubelskie;12741;18,00;0;5;;
Koluszki;powiat łódzki wschodni;łódzkie;12687;9,90;0;5;;
Wolsztyn;powiat wolsztyński;wielkopolskie;12664;4,80;0;5;;
Kłobuck;powiat kłobucki;śląskie;12663;47,50;0;5;;
Rabka-Zdrój;powiat nowotarski;małopolskie;12599;36,30;0;5;;
Złocieniec;powiat drawski;zachodniopomorskie;12579;32,30;0;5;;
Sędziszów Małopolski;powiat ropczycko-sędziszowski;podkarpackie;12438;37,00;0;5;;
Pyrzyce;powiat pyrzycki;zachodniopomorskie;12415;38,80;0;5;;
Brzeg Dolny;powiat wołowski;dolnośląskie;12395;17,20;0;5;;
Węgrów;powiat węgrowski;mazowieckie;12354;35,50;0;5;;
Brzeziny;powiat brzeziński;łódzkie;12326;21,60;0;5;;
Strzelin;powiat strzeliński;dolnośląskie;12319;12,70;0;5;;
Sławno;powiat sławieński;zachodniopomorskie;12286;15,80;0;5;;
Głubczyce;powiat głubczycki;opolskie;12282;12,50;0;5;;
Golub-Dobrzyń;powiat golubsko-dobrzyński;kujawsko-pomorskie;12210;7,50;0;5;;
Wołów;powiat wołowski;dolnośląskie;12202;18,50;0;5;;
Błonie;powiat warszawski zachodni;mazowieckie;12058;9,10;0;5;;
Pasłęk;powiat elbląski;warmińsko-mazurskie;12026;10,60;0;5;;
Wasilków;powiat białostocki;podlaskie;12021;28,30;0;5;;
Góra Kalwaria;powiat piaseczyński;mazowieckie;11946;13,70;0;5;;
Aleksandrów Kujawski;powiat aleksandrowski;kujawsko-pomorskie;11910;7,20;0;5;;
Warka;powiat grójecki;mazowieckie;11905;26,80;0;5;;
Dąbrowa Tarnowska;powiat dąbrowski;małopolskie;11828;23,20;0;5;;
Lubaczów;powiat lubaczowski;podkarpackie;11670;25,70;0;5;;
Janów Lubelski;powiat janowski;lubelskie;11503;14,80;0;5;;
Mogilno;powiat mogileński;kujawsko-pomorskie;11426;8,30;0;5;;
Góra;powiat górowski;dolnośląskie;11389;13,70;0;5;;
Szprotawa;powiat żagański;lubuskie;11371;11,00;0;5;;
Miechów;powiat miechowski;małopolskie;11364;15,50;0;5;;
Szydłowiec;powiat szydłowiecki;mazowieckie;11363;21,90;0;5;;
Drawsko Pomorskie;powiat drawski;zachodniopomorskie;11292;22,30;0;5;;
Zdzieszowice;powiat krapkowicki;opolskie;11161;12,40;0;5;;
Milicz;powiat milicki;dolnośląskie;11113;13,50;0;5;;
Węgorzewo;powiat węgorzewski;warmińsko-mazurskie;11076;10,90;0;5;;
Rogoźno;powiat obornicki;wielkopolskie;11071;11,20;0;5;;
Krosno Odrzańskie;powiat krośnieński;lubuskie;11047;8,20;0;5;;
Puck;powiat pucki;pomorskie;11025;4,80;0;5;;
Koronowo;powiat bydgoski;kujawsko-pomorskie;10947;28,20;0;5;;
Myślibórz;powiat myśliborski;zachodniopomorskie;10941;15,00;0;5;;
Brzeszcze;powiat oświęcimski;małopolskie;10935;19,00;0;5;;
